Probability Of 3.5-Instruct,Success Rate
0.0,0.0
0.02040816326530612,0.06666666666666667
0.04081632653061224,0.13333333333333333
0.061224489795918366,0.2
0.08163265306122448,0.13333333333333333
0.10204081632653061,0.13333333333333333
0.12244897959183673,0.03333333333333333
0.14285714285714285,0.23333333333333334
0.16326530612244897,0.23333333333333334
0.1836734693877551,0.3333333333333333
0.20408163265306123,0.16666666666666666
0.22448979591836735,0.5333333333333333
0.24489795918367346,0.3333333333333333
0.2653061224489796,0.36666666666666664
0.2857142857142857,0.4
0.30612244897959184,0.5333333333333333
0.32653061224489793,0.5333333333333333
0.3469387755102041,0.5
0.3673469387755102,0.6
0.3877551020408163,0.6
0.40816326530612246,0.8666666666666667
0.42857142857142855,0.6
0.4489795918367347,0.6
0.46938775510204084,0.7
0.4897959183673469,0.5666666666666667
0.5102040816326531,0.6333333333333333
0.5306122448979592,0.7333333333333333
0.5510204081632653,0.7666666666666667
0.5714285714285714,0.8
0.5918367346938775,0.9333333333333333
0.6122448979591837,0.8
0.6326530612244898,0.8333333333333334
0.6530612244897959,0.8333333333333334
0.673469387755102,0.8666666666666667
0.6938775510204082,0.9666666666666667
0.7142857142857143,0.9333333333333333
0.7346938775510204,0.8333333333333334
0.7551020408163265,0.9666666666666667
0.7755102040816326,0.9666666666666667
0.7959183673469388,0.9666666666666667
0.8163265306122449,0.9
0.8367346938775511,0.9333333333333333
0.8571428571428571,1.0
0.8775510204081632,1.0
0.8979591836734694,1.0
0.9183673469387755,0.9666666666666667
0.9387755102040817,0.9333333333333333
0.9591836734693877,1.0
0.9795918367346939,1.0
1.0,1.0
